Board_key,Board,Algorithm,Time execution,Explored nodes,,,,,
14,"[[0, 0, 3, 0, 5, 8, 0, 0, 0], [0, 8, 9, 0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 3, 2, 0, 1, 0], [0, 0, 0, 0, 2, 3, 0, 0, 0], [8, 0, 0, 0, 0, 0, 6, 7, 0], [0, 0, 0, 8, 9, 0, 1, 0, 0], [2, 0, 0, 0, 0, 9, 7, 5, 6], [0, 5, 0, 0, 0, 1, 0, 0, 2], [0, 0, 4, 0, 0, 0, 0, 8, 0]]",depthFirstSearch,TIMEOUT,TIMEOUT,,,,,
14,"[[0, 0, 3, 0, 5, 8, 0, 0, 0], [0, 8, 9, 0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 3, 2, 0, 1, 0], [0, 0, 0, 0, 2, 3, 0, 0, 0], [8, 0, 0, 0, 0, 0, 6, 7, 0], [0, 0, 0, 8, 9, 0, 1, 0, 0], [2, 0, 0, 0, 0, 9, 7, 5, 6], [0, 5, 0, 0, 0, 1, 0, 0, 2], [0, 0, 4, 0, 0, 0, 0, 8, 0]]",aStarSearch,15.31455612,300,,,,,
15,"[[2, 3, 0, 0, 0, 0, 9, 4, 5], [9, 0, 5, 4, 2, 0, 0, 0, 0], [0, 6, 0, 0, 0, 5, 1, 2, 0], [1, 0, 0, 0, 0, 4, 0, 0, 7], [3, 0, 0, 5, 0, 6, 0, 0, 9], [5, 0, 6, 0, 0, 0, 8, 3, 4], [0, 9, 0, 0, 3, 0, 0, 5, 0], [0, 4, 0, 0, 5, 0, 0, 9, 0], [7, 5, 0, 6, 0, 0, 0, 8, 0]]",depthFirstSearch,8.15765214,182,,,,,
15,"[[2, 3, 0, 0, 0, 0, 9, 4, 5], [9, 0, 5, 4, 2, 0, 0, 0, 0], [0, 6, 0, 0, 0, 5, 1, 2, 0], [1, 0, 0, 0, 0, 4, 0, 0, 7], [3, 0, 0, 5, 0, 6, 0, 0, 9], [5, 0, 6, 0, 0, 0, 8, 3, 4], [0, 9, 0, 0, 3, 0, 0, 5, 0], [0, 4, 0, 0, 5, 0, 0, 9, 0], [7, 5, 0, 6, 0, 0, 0, 8, 0]]",aStarSearch,3.414898396,70,,,,,
16,"[[0, 2, 3, 0, 0, 0, 0, 5, 7], [4, 0, 0, 1, 0, 0, 0, 2, 0], [9, 0, 7, 0, 0, 5, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0], [5, 0, 2, 0, 0, 6, 4, 0, 0], [6, 7, 0, 0, 0, 0, 1, 9, 0], [8, 0, 0, 5, 0, 1, 0, 0, 6], [7, 4, 5, 0, 0, 0, 0, 0, 0], [0, 1, 6, 0, 0, 8, 0, 0, 9]]",depthFirstSearch,64.19917369,1741,,,,,
16,"[[0, 2, 3, 0, 0, 0, 0, 5, 7], [4, 0, 0, 1, 0, 0, 0, 2, 0], [9, 0, 7, 0, 0, 5, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0], [5, 0, 2, 0, 0, 6, 4, 0, 0], [6, 7, 0, 0, 0, 0, 1, 9, 0], [8, 0, 0, 5, 0, 1, 0, 0, 6], [7, 4, 5, 0, 0, 0, 0, 0, 0], [0, 1, 6, 0, 0, 8, 0, 0, 9]]",aStarSearch,23.56117082,510,,,,,
17,"[[0, 0, 0, 0, 0, 5, 9, 0, 7], [0, 8, 0, 1, 6, 7, 0, 0, 5], [5, 7, 0, 0, 0, 0, 8, 0, 0], [9, 0, 0, 0, 5, 6, 0, 0, 0], [0, 0, 7, 0, 1, 0, 0, 8, 0], [2, 0, 0, 3, 0, 9, 0, 5, 0], [8, 9, 0, 0, 4, 0, 0, 0, 0], [6, 0, 1, 0, 0, 0, 5, 9, 8], [0, 0, 0, 5, 9, 8, 0, 1, 6]]",depthFirstSearch,TIMEOUT,TIMEOUT,,,,,
17,"[[0, 0, 0, 0, 0, 5, 9, 0, 7], [0, 8, 0, 1, 6, 7, 0, 0, 5], [5, 7, 0, 0, 0, 0, 8, 0, 0], [9, 0, 0, 0, 5, 6, 0, 0, 0], [0, 0, 7, 0, 1, 0, 0, 8, 0], [2, 0, 0, 3, 0, 9, 0, 5, 0], [8, 9, 0, 0, 4, 0, 0, 0, 0], [6, 0, 1, 0, 0, 0, 5, 9, 8], [0, 0, 0, 5, 9, 8, 0, 1, 6]]",aStarSearch,2.251750946,49,,,,,
18,"[[1, 0, 0, 0, 0, 8, 0, 0, 0], [4, 0, 0, 0, 0, 0, 1, 0, 2], [0, 0, 6, 1, 0, 0, 0, 9, 0], [0, 0, 0, 7, 8, 0, 0, 0, 0], [0, 1, 0, 0, 3, 0, 6, 0, 0], [9, 4, 0, 2, 0, 6, 3, 8, 0], [2, 9, 0, 0, 0, 0, 7, 4, 0], [0, 5, 4, 0, 0, 9, 0, 1, 0], [0, 0, 0, 6, 0, 2, 0, 5, 0]]",depthFirstSearch,TIMEOUT,TIMEOUT,,,,,
18,"[[1, 0, 0, 0, 0, 8, 0, 0, 0], [4, 0, 0, 0, 0, 0, 1, 0, 2], [0, 0, 6, 1, 0, 0, 0, 9, 0], [0, 0, 0, 7, 8, 0, 0, 0, 0], [0, 1, 0, 0, 3, 0, 6, 0, 0], [9, 4, 0, 2, 0, 6, 3, 8, 0], [2, 9, 0, 0, 0, 0, 7, 4, 0], [0, 5, 4, 0, 0, 9, 0, 1, 0], [0, 0, 0, 6, 0, 2, 0, 5, 0]]",aStarSearch,28.16683078,529,,,,,
